ProductID,ProductName,Category,SupplierID,SupplierName,gross_sales,discount_amount,net_sales,gross_profit,units,records,gross_margin_pct,discount_pct,expected_units,fulfilled_units,estimated_lost_units,estimated_lost_sales,estimated_lost_gp,stockout_hours,inventory_records,late_delivery_days,ordered_units,received_units,availability_pct,lost_sales_share_pct,cumulative_lost_sales_pct
PR020,Salted farm butter 500 g,Chilled Dairy,SUP007,Midlands Fresh Logistics,3774991.840000,56264.270000,3718727.570000,633522.600000,41768,946,0.170360,0.014904,41933.000000,41790.000000,105.000000,9367.330000,1616.230000,366.300000,936.000000,69.000000,44350.000000,41094.000000,0.996590,0.013672,0.795122
PR021,Free-range eggs 18 pack,Chilled Dairy,SUP007,Midlands Fresh Logistics,3892532.820000,62964.340000,3829568.480000,888654.780000,57633,951,0.232051,0.016176,57946.000000,57753.000000,142.000000,9354.900000,2112.900000,322.200000,936.000000,69.000000,61203.000000,56815.000000,0.996669,0.013654,0.808776
PR009,Smooth peanut butter 800 g,Pantry Staples,SUP011,Savanna Brand Partners,3134969.600000,112130.030000,3022839.570000,751288.270000,42560,954,0.248537,0.035768,42736.000000,42596.000000,99.000000,7084.200000,1801.560000,297.700000,936.000000,76.000000,45238.000000,41988.000000,0.996724,0.010340,0.819116
PR014,Pilchards in tomato 400 g,Pantry Staples,SUP008,Estuary Import Merchants,1177494.480000,39228.050000,1138266.430000,309178.540000,39276,954,0.271622,0.033315,39694.000000,39361.000000,230.000000,6679.410000,1826.410000,847.100000,936.000000,87.000000,43351.000000,38655.000000,0.991611,0.009749,0.828866
PR042,Fabric conditioner 2 L,Household Care,SUP004,Highveld Homecare Works,2023289.840000,65383.250000,1957906.590000,559987.960000,26884,952,0.286014,0.032315,27031.000000,26935.000000,70.000000,5160.120000,1522.220000,323.300000,936.000000,80.000000,28355.000000,26582.000000,0.996449,0.007532,0.836397
PR006,Sunflower cooking oil 2 L,Pantry Staples,SUP012,Peninsula Ambient Foods,5494519.800000,188198.430000,5306321.370000,908693.920000,57420,956,0.171247,0.034252,57637.000000,57558.000000,56.000000,5101.480000,815.240000,133.100000,936.000000,39.000000,59503.000000,56738.000000,0.998629,0.007446,0.843843
PR056,Body lotion 400 ml,Personal Care,SUP005,Lowveld Personal Care,1595235.180000,50476.740000,1544758.440000,529842.930000,22589,952,0.342994,0.031642,22701.000000,22606.000000,74.000000,5100.440000,1778.580000,420.500000,936.000000,98.000000,24092.000000,22268.000000,0.995815,0.007445,0.851288
PR057,Gentle body wash 500 ml,Personal Care,SUP005,Lowveld Personal Care,1437559.600000,47032.800000,1390526.800000,482582.900000,24515,949,0.347050,0.032717,24649.000000,24533.000000,85.000000,4835.000000,1689.150000,436.800000,936.000000,98.000000,26132.000000,24130.000000,0.995294,0.007057,0.858345
PR040,All-purpose cleaner 1 L,Household Care,SUP010,Bayline Household Supply,1190188.440000,39322.980000,1150865.460000,352699.590000,30331,945,0.306465,0.033039,30536.000000,30367.000000,123.000000,4750.440000,1515.540000,549.100000,936.000000,96.000000,32581.000000,29912.000000,0.994466,0.006934,0.865279
PR051,Daily shampoo 400 ml,Personal Care,SUP005,Lowveld Personal Care,1484876.080000,47942.930000,1436933.150000,492420.240000,26861,945,0.342688,0.032287,27043.000000,26924.000000,87.000000,4719.410000,1663.100000,453.000000,936.000000,98.000000,28677.000000,26492.000000,0.995600,0.006888,0.872167
PR053,Fresh deodorant 150 ml,Personal Care,SUP005,Lowveld Personal Care,1219581.990000,37005.610000,1182576.380000,436722.500000,30543,949,0.369297,0.030343,30711.000000,30562.000000,106.000000,4156.890000,1569.430000,478.900000,936.000000,98.000000,32577.000000,30100.000000,0.995148,0.006067,0.878234
PR013,Tomato sauce 700 ml,Pantry Staples,SUP011,Savanna Brand Partners,1777489.740000,62000.850000,1715488.890000,475804.840000,44683,950,0.277358,0.034881,44869.000000,44716.000000,106.000000,4036.950000,1098.630000,330.500000,936.000000,76.000000,47327.000000,43944.000000,0.996590,0.005892,0.884127
PR023,Greek-style yoghurt 500 g,Chilled Dairy,SUP007,Midlands Fresh Logistics,1418739.700000,22480.620000,1396259.080000,416077.910000,35602,958,0.297995,0.015845,35767.000000,35639.000000,101.000000,3985.050000,1206.540000,351.700000,936.000000,69.000000,37843.000000,35105.000000,0.996421,0.005817,0.889943
PR032,Wheat biscuits 900 g,Breakfast,SUP006,Drakensberg Breakfast Foods,2492794.720000,86248.790000,2406545.930000,633238.130000,38636,952,0.263132,0.034599,38759.000000,38675.000000,61.000000,3779.210000,980.530000,228.300000,936.000000,69.000000,40498.000000,38172.000000,0.997833,0.005516,0.895459
PR041,Toilet cleaner 750 ml,Household Care,SUP010,Bayline Household Supply,971108.150000,32809.260000,938298.890000,319206.760000,29383,953,0.340197,0.033785,29565.000000,29411.000000,111.000000,3612.620000,1274.960000,546.700000,936.000000,96.000000,31586.000000,29010.000000,0.994791,0.005273,0.900732
PR002,Cake wheat flour 2.5 kg,Pantry Staples,SUP001,Karoo Milling Cooperative,2026292.480000,71562.080000,1954730.400000,507548.150000,46432,949,0.259651,0.035317,46667.000000,46551.000000,82.000000,3456.100000,901.800000,265.400000,936.000000,61.000000,49278.000000,45847.000000,0.997514,0.005044,0.905777
PR068,Salted potato crisps 125 g,Snacks & Drinks,SUP011,Savanna Brand Partners,1300329.660000,14404.690000,1285924.970000,479874.280000,52034,948,0.373174,0.011078,52246.000000,52066.000000,128.000000,3171.590000,1190.150000,329.300000,936.000000,76.000000,55165.000000,51313.000000,0.996555,0.004629,0.910406
PR052,Nourishing conditioner 400 ml,Personal Care,SUP005,Lowveld Personal Care,1189831.700000,36691.640000,1153140.060000,390638.060000,20621,945,0.338760,0.030838,20711.000000,20633.000000,56.000000,3140.350000,1071.150000,395.300000,936.000000,98.000000,21918.000000,20273.000000,0.996234,0.004584,0.914990
PR039,Dishwashing liquid 750 ml,Household Care,SUP004,Highveld Homecare Works,1375623.700000,45654.440000,1329969.260000,452688.790000,43123,947,0.340375,0.033188,43282.000000,43141.000000,99.000000,3106.360000,1093.690000,300.500000,936.000000,80.000000,45414.000000,42510.000000,0.996742,0.004534,0.919524
PR047,Handwash refill 750 ml,Household Care,SUP004,Highveld Homecare Works,1219652.250000,39526.200000,1180126.050000,383980.450000,24825,952,0.325372,0.032408,24994.000000,24904.000000,65.000000,3078.790000,994.890000,314.500000,936.000000,80.000000,26175.000000,24550.000000,0.996399,0.004494,0.924017
PR059,Moisture soap 4 pack,Personal Care,SUP005,Lowveld Personal Care,1053938.560000,35537.460000,1018401.100000,317001.360000,23888,954,0.311274,0.033719,24005.000000,23912.000000,69.000000,2942.700000,916.860000,401.700000,936.000000,98.000000,25471.000000,23585.000000,0.996126,0.004295,0.928313
PR043,Bleach original 1.5 L,Household Care,SUP010,Bayline Household Supply,808515.090000,26184.350000,782330.740000,241905.140000,28359,950,0.309211,0.032386,28553.000000,28410.000000,104.000000,2925.620000,944.420000,495.000000,936.000000,96.000000,30533.000000,28021.000000,0.994992,0.004270,0.932583
PR031,Corn flakes 1 kg,Breakfast,SUP006,Drakensberg Breakfast Foods,2478355.290000,84223.690000,2394131.600000,601071.480000,41451,957,0.251060,0.033984,41559.000000,41496.000000,48.000000,2788.970000,714.410000,160.300000,936.000000,69.000000,43337.000000,40870.000000,0.998484,0.004071,0.936653
PR069,Cheddar potato crisps 125 g,Snacks & Drinks,SUP011,Savanna Brand Partners,1111944.540000,12642.650000,1099301.890000,402877.880000,43881,951,0.366485,0.011370,44075.000000,43920.000000,110.000000,2747.630000,1001.930000,325.100000,936.000000,76.000000,46611.000000,43287.000000,0.996483,0.004010,0.940664
PR055,Family toothpaste 150 ml,Personal Care,SUP011,Savanna Brand Partners,921047.260000,28318.720000,892728.540000,297993.380000,26798,952,0.333801,0.030746,26992.000000,26880.000000,81.000000,2678.480000,882.710000,360.000000,936.000000,76.000000,28592.000000,26539.000000,0.995851,0.003909,0.944573
PR072,Milk chocolate slab 100 g,Snacks & Drinks,SUP011,Savanna Brand Partners,1058001.130000,11096.620000,1046904.510000,385703.290000,36877,949,0.368423,0.010488,37034.000000,36910.000000,92.000000,2623.620000,974.980000,315.400000,936.000000,76.000000,39081.000000,36335.000000,0.996652,0.003829,0.948403
PR029,Bran flakes 750 g,Breakfast,SUP006,Drakensberg Breakfast Foods,1968397.200000,65487.700000,1902909.500000,534147.310000,35640,947,0.280700,0.033270,35809.000000,35740.000000,49.000000,2619.470000,738.850000,208.000000,936.000000,69.000000,37484.000000,35286.000000,0.998073,0.003823,0.952226
PR054,Sensitive toothpaste 100 ml,Personal Care,SUP011,Savanna Brand Partners,921559.120000,28630.960000,892928.160000,324031.030000,24667,948,0.362886,0.031068,24777.000000,24685.000000,72.000000,2591.270000,931.670000,368.600000,936.000000,76.000000,26261.000000,24370.000000,0.996287,0.003782,0.956008
PR071,Dark chocolate slab 100 g,Snacks & Drinks,SUP011,Savanna Brand Partners,1022676.900000,11473.590000,1011203.310000,381374.540000,34295,948,0.377149,0.011219,34469.000000,34353.000000,83.000000,2454.050000,930.170000,326.500000,936.000000,76.000000,36489.000000,33844.000000,0.996635,0.003582,0.959590
PR076,Cheese crackers 200 g,Snacks & Drinks,SUP011,Savanna Brand Partners,951868.320000,9064.180000,942804.140000,352157.380000,32136,953,0.373521,0.009523,32269.000000,32164.000000,82.000000,2417.510000,911.170000,347.600000,936.000000,76.000000,34132.000000,31649.000000,0.996746,0.003529,0.963119
PR064,Sparkling water 6 pack,Snacks & Drinks,SUP009,Stellenridge Beverage Co.,1859000.000000,21000.260000,1837999.740000,591441.050000,37180,948,0.321785,0.011297,37270.000000,37207.000000,44.000000,2137.290000,662.850000,156.900000,936.000000,43.000000,38333.000000,36641.000000,0.998310,0.003120,0.966238
PR065,Still water 6 pack,Snacks & Drinks,SUP009,Stellenridge Beverage Co.,1705992.030000,16707.670000,1689284.360000,509990.020000,38799,954,0.301897,0.009794,38997.000000,38929.000000,47.000000,2029.370000,601.980000,176.000000,936.000000,43.000000,40219.000000,38414.000000,0.998256,0.002962,0.969200
PR027,Wholegrain oats 1 kg,Breakfast,SUP006,Drakensberg Breakfast Foods,2104075.260000,74754.710000,2029320.550000,557466.260000,47166,946,0.274706,0.035529,47294.000000,47232.000000,45.000000,1944.690000,540.690000,149.600000,936.000000,69.000000,49319.000000,46561.000000,0.998689,0.002838,0.972039
PR035,Instant maize porridge 1 kg,Breakfast,SUP006,Drakensberg Breakfast Foods,1494012.620000,52285.560000,1441727.060000,374620.600000,37369,951,0.259842,0.034997,37459.000000,37400.000000,47.000000,1836.420000,495.040000,177.600000,936.000000,69.000000,39086.000000,36853.000000,0.998425,0.002680,0.974719
PR077,Salted popcorn 100 g,Snacks & Drinks,SUP011,Savanna Brand Partners,681406.880000,7710.560000,673696.320000,265917.650000,34276,959,0.394714,0.011316,34444.000000,34321.000000,90.000000,1769.290000,699.190000,337.300000,936.000000,76.000000,36459.000000,33859.000000,0.996429,0.002582,0.977302
PR028,Instant oats original 500 g,Breakfast,SUP006,Drakensberg Breakfast Foods,1375455.590000,46588.840000,1328866.750000,426500.920000,36263,953,0.320951,0.033872,36401.000000,36338.000000,48.000000,1757.790000,563.550000,179.100000,936.000000,69.000000,38028.000000,35848.000000,0.998269,0.002566,0.979867
PR073,Fruit juice boxes 6 pack,Snacks & Drinks,SUP003,Cape Orchard & Press,1449454.750000,16541.080000,1432913.670000,427136.010000,30925,954,0.298089,0.011412,31003.000000,30956.000000,38.000000,1756.220000,520.840000,163.700000,936.000000,55.000000,32140.000000,30445.000000,0.998484,0.002563,0.982431
PR066,Cola zero sugar 2 L,Snacks & Drinks,SUP009,Stellenridge Beverage Co.,1345331.800000,13094.670000,1332237.130000,389172.970000,44740,951,0.292120,0.009733,44929.000000,44846.000000,59.000000,1739.050000,496.510000,177.300000,936.000000,43.000000,46333.000000,44230.000000,0.998153,0.002538,0.984969
PR050,Laundry bar 500 g,Household Care,SUP004,Highveld Homecare Works,682103.240000,21838.260000,660264.980000,185199.690000,27482,948,0.280493,0.032016,27599.000000,27502.000000,71.000000,1714.660000,487.780000,328.000000,936.000000,80.000000,28941.000000,27095.000000,0.996485,0.002503,0.987472
PR063,Orange juice 1 L,Snacks & Drinks,SUP003,Cape Orchard & Press,1577763.930000,17735.560000,1560028.370000,402471.020000,42909,956,0.257990,0.011241,43016.000000,42955.000000,46.000000,1655.660000,415.960000,133.200000,936.000000,55.000000,44601.000000,42276.000000,0.998582,0.002417,0.989888
PR062,Apple juice 1 L,Snacks & Drinks,SUP003,Cape Orchard & Press,1407242.400000,19228.410000,1388013.990000,363490.450000,40438,952,0.261878,0.013664,40580.000000,40523.000000,42.000000,1441.600000,378.580000,133.400000,936.000000,55.000000,42097.000000,39920.000000,0.998595,0.002104,0.991992
PR067,Ginger beer 2 L,Snacks & Drinks,SUP009,Stellenridge Beverage Co.,1020719.190000,11092.570000,1009626.620000,316592.000000,31611,948,0.313573,0.010867,31728.000000,31666.000000,45.000000,1423.280000,437.330000,190.900000,936.000000,43.000000,32605.000000,31200.000000,0.998046,0.002077,0.994070
PR010,Spaghetti 500 g,Pantry Staples,SUP012,Peninsula Ambient Foods,1033184.790000,35540.950000,997643.840000,317829.790000,42361,955,0.318580,0.034399,42533.000000,42460.000000,52.000000,1231.040000,396.960000,175.300000,936.000000,39.000000,43931.000000,41849.000000,0.998284,0.001797,0.995867
PR011,Macaroni 500 g,Pantry Staples,SUP012,Peninsula Ambient Foods,879703.440000,30381.990000,849321.450000,259593.920000,34716,950,0.305649,0.034537,34804.000000,34744.000000,44.000000,1078.030000,331.350000,171.500000,936.000000,39.000000,35817.000000,34191.000000,0.998276,0.001573,0.997440
PR008,Baked beans 410 g,Pantry Staples,SUP012,Peninsula Ambient Foods,878202.210000,30360.330000,847841.880000,238341.230000,49089,949,0.281115,0.034571,49195.000000,49118.000000,57.000000,986.930000,279.560000,143.900000,936.000000,39.000000,50661.000000,48325.000000,0.998435,0.001441,0.998881
PR007,Chopped tomatoes 410 g,Pantry Staples,SUP012,Peninsula Ambient Foods,804622.140000,27985.040000,776637.100000,244543.020000,41454,946,0.314874,0.034780,41535.000000,41476.000000,41.000000,766.860000,240.830000,143.300000,936.000000,39.000000,42728.000000,40752.000000,0.998580,0.001119,1.000000
PR003,Brown bread flour 2.5 kg,Pantry Staples,SUP001,Karoo Milling Cooperative,1619308.320000,57149.320000,1562159.000000,408837.180000,32753,953,0.261713,0.035292,,,,0.000000,0.000000,,,,,,,0.000000,1.000000
PR012,Chicken stock cubes 24 pack,Pantry Staples,SUP011,Savanna Brand Partners,1142006.120000,39554.960000,1102451.160000,386735.160000,29732,953,0.350796,0.034636,,,,0.000000,0.000000,,,,,,,0.000000,1.000000
PR005,Basmati rice 1 kg,Pantry Staples,SUP008,Estuary Import Merchants,1341023.040000,46242.280000,1294780.760000,339452.970000,24624,736,0.262170,0.034483,,,,0.000000,0.000000,,,,,,,0.000000,1.000000
PR025,Fresh mozzarella 200 g,Chilled Dairy,SUP007,Midlands Fresh Logistics,877265.710000,13645.880000,863619.830000,256743.240000,18749,736,0.297287,0.015555,,,,0.000000,0.000000,,,,,,,0.000000,1.000000
PR024,Whipping cream 250 ml,Chilled Dairy,SUP007,Midlands Fresh Logistics,636337.350000,9223.100000,627114.250000,168822.500000,19371,635,0.269205,0.014494,,,,0.000000,0.000000,,,,,,,0.000000,1.000000
PR045,Kitchen degreaser 500 ml,Household Care,SUP010,Bayline Household Supply,626212.510000,21230.310000,604982.200000,222117.850000,14399,634,0.367148,0.033903,,,,0.000000,0.000000,,,,,,,0.000000,1.000000
PR044,Laundry capsules 24 pack,Household Care,SUP004,Highveld Homecare Works,2089941.000000,71695.140000,2018245.860000,551164.400000,17308,744,0.273091,0.034305,,,,0.000000,0.000000,,,,,,,0.000000,1.000000
PR036,Berry breakfast biscuits 300 g,Breakfast,SUP011,Savanna Brand Partners,618546.130000,21835.730000,596710.400000,206602.720000,17273,633,0.346236,0.035302,,,,0.000000,0.000000,,,,,,,0.000000,1.000000
PR030,Granola cranberry 600 g,Breakfast,SUP003,Cape Orchard & Press,2251125.800000,80787.820000,2170337.980000,707178.030000,27940,953,0.325838,0.035888,,,,0.000000,0.000000,,,,,,,0.000000,1.000000
PR033,Crunchy peanut clusters 450 g,Breakfast,SUP003,Cape Orchard & Press,985403.490000,33882.450000,951521.040000,310294.120000,15927,639,0.326103,0.034384,,,,0.000000,0.000000,,,,,,,0.000000,1.000000
PR034,Fruit muesli 750 g,Breakfast,SUP003,Cape Orchard & Press,1687906.400000,58203.450000,1629702.950000,477630.150000,22996,814,0.293078,0.034483,,,,0.000000,0.000000,,,,,,,0.000000,1.000000
PR037,Honey oat clusters 450 g,Breakfast,SUP003,Cape Orchard & Press,1231919.400000,42589.640000,1189329.760000,369486.400000,17751,739,0.310668,0.034572,,,,0.000000,0.000000,,,,,,,0.000000,1.000000
PR049,Floor cleaner 1 L,Household Care,SUP010,Bayline Household Supply,593729.130000,19628.690000,574100.440000,195823.170000,15837,741,0.341096,0.033060,,,,0.000000,0.000000,,,,,,,0.000000,1.000000
PR061,Cotton buds 200 pack,Personal Care,SUP011,Savanna Brand Partners,328022.240000,10903.730000,317118.510000,122467.550000,13864,740,0.386189,0.033241,,,,0.000000,0.000000,,,,,,,0.000000,1.000000
PR060,Daily sunscreen SPF30 100 ml,Personal Care,SUP011,Savanna Brand Partners,947237.300000,30216.790000,917020.510000,333869.810000,9865,631,0.364081,0.031900,,,,0.000000,0.000000,,,,,,,0.000000,1.000000
PR058,Disposable razors 5 pack,Personal Care,SUP011,Savanna Brand Partners,724822.830000,25136.560000,699686.270000,259503.900000,15699,820,0.370886,0.034680,,,,0.000000,0.000000,,,,,,,0.000000,1.000000
PR048,Multipurpose wipes 80 pack,Household Care,SUP011,Savanna Brand Partners,1019625.920000,34536.190000,985089.730000,353395.360000,23006,948,0.358744,0.033871,,,,0.000000,0.000000,,,,,,,0.000000,1.000000
PR046,Bin liners 30 pack,Household Care,SUP011,Savanna Brand Partners,854848.360000,28313.330000,826535.030000,308759.340000,22663,948,0.373559,0.033121,,,,0.000000,0.000000,,,,,,,0.000000,1.000000
PR070,Roasted mixed nuts 250 g,Snacks & Drinks,SUP003,Cape Orchard & Press,1805351.880000,20441.000000,1784910.880000,569050.840000,27462,946,0.318812,0.011322,,,,0.000000,0.000000,,,,,,,0.000000,1.000000
PR075,Trail mix cranberry 200 g,Snacks & Drinks,SUP003,Cape Orchard & Press,889571.150000,9029.870000,880541.280000,310299.080000,17953,633,0.352396,0.010151,,,,0.000000,0.000000,,,,,,,0.000000,1.000000
PR074,Rooibos iced tea 1.5 L,Snacks & Drinks,SUP009,Stellenridge Beverage Co.,1009009.560000,12258.870000,996750.690000,343084.080000,26637,953,0.344203,0.012149,,,,0.000000,0.000000,,,,,,,0.000000,1.000000
