WeekStartDate,Region,expected_units,fulfilled_units,estimated_lost_units,estimated_lost_sales,estimated_lost_gp,stockout_hours,inventory_records,late_delivery_days,ordered_units,received_units,availability_pct,week_label
2026-04-13,KwaZulu-Natal,17745,17671,55,3089.660000,862.880000,210.000000,501,21,18999,17873,0.995830,13 Apr
2026-04-13,Western Cape,21031,21008,17,840.160000,216.280000,65.700000,503,35,22425,20889,0.998906,13 Apr
2026-04-20,Eastern Cape,9502,9449,39,2081.260000,551.630000,177.500000,334,28,10091,9443,0.994422,20 Apr
2026-04-20,Gauteng,31719,31416,214,11014.070000,2773.780000,535.700000,670,102,34261,31392,0.990447,20 Apr
2026-04-20,KwaZulu-Natal,17565,17518,38,1745.450000,520.310000,156.900000,501,56,18590,17339,0.997324,20 Apr
2026-04-20,Western Cape,20893,20826,47,2197.880000,672.020000,135.700000,503,43,22343,20753,0.996793,20 Apr
2026-04-27,Eastern Cape,10156,10130,23,1175.290000,293.580000,89.700000,334,28,10933,10177,0.997440,27 Apr
2026-04-27,Gauteng,32908,32852,41,2197.030000,497.100000,103.600000,670,25,35884,33228,0.998298,27 Apr
2026-04-27,KwaZulu-Natal,18355,18275,58,3235.880000,753.830000,155.300000,501,45,19731,18305,0.995642,27 Apr
2026-04-27,Western Cape,21581,21544,27,1241.010000,300.130000,87.100000,503,28,23306,21819,0.998286,27 Apr
2026-05-04,Eastern Cape,9726,9655,54,3226.570000,782.690000,220.800000,334,29,10344,9636,0.992700,04 May
2026-05-04,Gauteng,31793,31754,27,1202.190000,345.880000,87.700000,670,8,33835,31592,0.998773,04 May
2026-05-04,KwaZulu-Natal,18182,18060,89,4626.570000,1127.890000,252.900000,501,55,19502,18002,0.993290,04 May
2026-05-04,Western Cape,21355,21343,10,441.980000,119.830000,37.200000,503,25,22759,21428,0.999438,04 May
2026-05-11,Eastern Cape,9830,9805,18,881.590000,246.560000,85.000000,334,10,10484,9820,0.997457,11 May
2026-05-11,Gauteng,32584,32476,78,4074.200000,996.760000,171.100000,670,82,35052,32320,0.996685,11 May
2026-05-11,KwaZulu-Natal,18031,18005,22,979.330000,255.500000,69.000000,501,12,19368,18076,0.998558,11 May
2026-05-11,Western Cape,21645,21552,68,3687.570000,868.340000,226.000000,503,48,23049,21484,0.995703,11 May
2026-05-18,Eastern Cape,9562,9252,221,11894.850000,2795.550000,875.900000,334,47,10365,9057,0.967580,18 May
2026-05-18,Gauteng,32628,32601,19,929.020000,222.460000,40.100000,670,16,35227,33030,0.999172,18 May
2026-05-18,KwaZulu-Natal,18221,17704,377,20489.290000,4664.010000,1085.900000,501,107,20079,17342,0.971626,18 May
2026-05-18,Western Cape,21633,21571,43,2223.420000,640.350000,154.400000,503,33,23115,21604,0.997134,18 May
2026-05-25,Eastern Cape,10240,9656,430,23647.880000,5202.550000,1423.300000,334,97,11491,9707,0.942969,25 May
2026-05-25,Gauteng,33740,33640,70,3608.480000,885.110000,192.700000,670,38,36267,34005,0.997036,25 May
2026-05-25,KwaZulu-Natal,19675,19169,368,18820.160000,2422.320000,806.200000,501,104,22449,19508,0.974282,25 May
2026-05-25,Western Cape,22755,22695,47,2181.820000,542.190000,137.000000,503,20,24584,22902,0.997363,25 May
2026-06-01,Eastern Cape,10075,9552,387,20733.890000,4688.470000,1137.500000,334,69,11244,9393,0.948089,01 Jun
2026-06-01,Gauteng,33442,33274,125,6445.970000,1572.540000,272.900000,670,65,35561,32920,0.994976,01 Jun
2026-06-01,KwaZulu-Natal,19135,18630,372,17800.580000,2361.840000,829.800000,501,45,21380,18616,0.973609,01 Jun
2026-06-01,Western Cape,21789,21644,97,3780.570000,1135.570000,356.600000,503,58,23081,21443,0.993345,01 Jun
2026-06-08,Eastern Cape,10120,9766,260,14349.970000,3283.570000,889.600000,334,64,11500,9840,0.965020,08 Jun
2026-06-08,Gauteng,33247,33200,32,1765.300000,543.940000,117.500000,670,46,35661,33234,0.998586,08 Jun
2026-06-08,KwaZulu-Natal,19494,18399,807,39010.180000,4751.050000,1592.600000,501,163,21869,18135,0.943829,08 Jun
2026-06-08,Western Cape,21988,21880,80,4124.790000,961.210000,226.000000,503,68,23540,21817,0.995088,08 Jun
2026-06-15,Eastern Cape,10119,9833,209,11016.230000,2499.880000,694.800000,334,43,11432,9902,0.971736,15 Jun
2026-06-15,Gauteng,34891,34865,20,798.510000,198.420000,59.600000,670,28,37776,35286,0.999255,15 Jun
2026-06-15,KwaZulu-Natal,19710,18538,860,39042.610000,5370.260000,1740.900000,501,169,22434,18405,0.940538,15 Jun
2026-06-15,Western Cape,21999,21980,15,902.590000,205.480000,35.300000,503,28,23609,21992,0.999136,15 Jun
2026-06-22,Eastern Cape,10609,10075,398,21054.380000,4560.490000,1308.600000,334,98,11981,10099,0.949665,22 Jun
2026-06-22,Gauteng,36516,36386,90,3727.460000,806.780000,232.400000,670,95,39499,36714,0.996440,22 Jun
2026-06-22,KwaZulu-Natal,19334,18471,633,33178.900000,7018.810000,1454.200000,501,121,21991,18772,0.955364,22 Jun
2026-06-22,Western Cape,23417,23336,58,2156.130000,654.250000,169.900000,503,48,25503,23574,0.996541,22 Jun
2026-06-29,Eastern Cape,10679,10249,313,16093.460000,3439.800000,1012.600000,334,57,12080,10288,0.959734,29 Jun
2026-06-29,Gauteng,36629,36556,53,2296.840000,614.910000,157.000000,670,51,39341,36586,0.998007,29 Jun
2026-06-29,KwaZulu-Natal,19887,19157,542,28931.440000,6564.510000,1219.700000,501,147,22444,19174,0.963293,29 Jun
2026-06-29,Western Cape,23228,23209,16,902.750000,245.990000,51.000000,503,50,24990,23287,0.999182,29 Jun
2026-07-06,Eastern Cape,10312,9795,374,19549.380000,4582.630000,1264.700000,334,102,11565,9656,0.949864,06 Jul
2026-07-06,Gauteng,34913,34709,136,4973.100000,1384.150000,434.100000,670,76,37033,34437,0.994157,06 Jul
2026-07-06,KwaZulu-Natal,18954,18245,518,27241.930000,6092.480000,1201.200000,501,112,21210,18175,0.962594,06 Jul
2026-07-06,Western Cape,22481,22424,41,2167.260000,569.600000,134.000000,503,12,23903,22377,0.997465,06 Jul
2026-07-13,Eastern Cape,10405,9981,314,15775.950000,3636.900000,1037.600000,334,87,11767,10048,0.959250,13 Jul
2026-07-13,Gauteng,35846,35774,51,2295.250000,514.100000,123.900000,670,60,38548,35779,0.997991,13 Jul
2026-07-13,KwaZulu-Natal,18862,17995,644,35178.080000,7710.190000,1493.000000,501,131,21132,17912,0.954035,13 Jul
2026-07-13,Western Cape,22180,22105,54,2609.840000,688.400000,184.900000,503,24,23576,22149,0.996619,13 Jul
2026-07-20,Eastern Cape,10282,10078,154,7826.190000,1877.280000,507.100000,334,39,11411,10205,0.980160,20 Jul
2026-07-20,Gauteng,35594,35497,70,3581.210000,871.670000,162.100000,670,74,38192,35528,0.997275,20 Jul
2026-07-20,KwaZulu-Natal,19178,19042,99,5221.820000,1136.950000,228.000000,501,24,21452,19319,0.992909,20 Jul
2026-07-20,Western Cape,22604,22555,36,1897.510000,525.680000,113.500000,503,31,24081,22456,0.997832,20 Jul
2026-07-27,Eastern Cape,11000,10756,177,8988.940000,1974.870000,533.800000,334,50,12227,10806,0.977818,27 Jul
2026-07-27,Gauteng,37224,37188,24,1220.440000,233.080000,54.900000,670,26,40309,37679,0.999033,27 Jul
2026-07-27,KwaZulu-Natal,19759,19492,195,10172.350000,2232.990000,449.100000,501,41,21871,19748,0.986487,27 Jul
2026-07-27,Western Cape,23572,23455,84,3963.420000,1190.190000,337.800000,503,82,25470,23614,0.995036,27 Jul
2026-08-03,Eastern Cape,10256,9784,353,19201.640000,4312.370000,1178.600000,334,119,11243,9640,0.953978,03 Aug
2026-08-03,Gauteng,33300,33217,60,3235.430000,755.130000,164.500000,670,32,34640,32271,0.997508,03 Aug
2026-08-03,KwaZulu-Natal,18820,18605,150,7125.610000,1826.850000,437.000000,501,67,20431,18112,0.988576,03 Aug
2026-08-03,Western Cape,22397,22324,57,3007.020000,698.460000,137.400000,503,31,23706,22258,0.996741,03 Aug
2026-08-10,Eastern Cape,10345,10241,76,3905.300000,1079.030000,353.600000,334,36,11261,10476,0.989947,10 Aug
2026-08-10,Gauteng,33623,33411,150,8073.510000,2146.390000,378.300000,670,95,36053,33256,0.993695,10 Aug
2026-08-10,KwaZulu-Natal,18812,18730,60,3029.420000,874.520000,279.000000,501,39,20540,19135,0.995641,10 Aug
2026-08-10,Western Cape,22550,22495,37,1911.090000,454.750000,100.300000,503,61,24018,22253,0.997561,10 Aug
2026-08-17,Eastern Cape,10335,10298,27,1267.380000,364.390000,131.600000,334,17,11043,10255,0.996420,17 Aug
2026-08-17,Gauteng,33664,33578,66,3739.020000,841.230000,153.300000,670,23,36234,33806,0.997445,17 Aug
2026-08-17,KwaZulu-Natal,18877,18820,41,2156.480000,677.040000,213.800000,501,40,20223,18874,0.996980,17 Aug
2026-08-17,Western Cape,22662,22632,25,943.410000,286.420000,72.500000,503,15,24429,22867,0.998676,17 Aug
