Region,SupplierID,SupplierName,Category,expected_units,fulfilled_units,estimated_lost_units,estimated_lost_sales,estimated_lost_gp,stockout_hours,inventory_records,late_delivery_days,ordered_units,received_units,availability_pct
Western Cape,SUP004,Highveld Homecare Works,Household Care,40623,40556,48,2759.790000,824.830000,172.200000,1170,50,42519,39993,0.998351
Gauteng,SUP010,Bayline Household Supply,Household Care,36999,36878,82,2627.010000,818.910000,332.900000,936,66,39428,36359,0.996730
Western Cape,SUP006,Drakensberg Breakfast Foods,Breakfast,61588,61516,52,2551.090000,717.770000,193.600000,1404,60,64047,60747,0.998831
Eastern Cape,SUP010,Bayline Household Supply,Household Care,10126,10035,72,2465.470000,832.150000,395.900000,468,54,10826,9875,0.991013
Eastern Cape,SUP009,Stellenridge Beverage Co.,Snacks & Drinks,17696,17608,63,2294.640000,686.120000,314.600000,624,52,18184,17387,0.995027
KwaZulu-Natal,SUP011,Savanna Brand Partners,Pantry Staples,19013,18953,43,2279.130000,600.010000,132.600000,468,24,20006,18637,0.996844
Western Cape,SUP011,Savanna Brand Partners,Pantry Staples,22375,22318,41,2207.840000,558.520000,125.100000,468,42,23640,22019,0.997453
Western Cape,SUP010,Bayline Household Supply,Household Care,22498,22418,61,2055.780000,697.260000,283.900000,702,75,24205,22156,0.996444
Gauteng,SUP012,Peninsula Ambient Foods,Pantry Staples,89111,89034,53,2011.020000,500.330000,152.300000,1560,40,91713,87778,0.999136
KwaZulu-Natal,SUP003,Cape Orchard & Press,Snacks & Drinks,24725,24655,52,1984.800000,532.800000,183.000000,702,60,25616,24232,0.997169
Western Cape,SUP001,Karoo Milling Cooperative,Pantry Staples,30177,30139,28,1773.530000,417.430000,66.300000,468,12,31577,29787,0.998741
Gauteng,SUP011,Savanna Brand Partners,Personal Care,21096,21027,50,1591.920000,464.940000,164.800000,624,64,22493,20762,0.996729
Western Cape,SUP003,Cape Orchard & Press,Snacks & Drinks,31915,31861,38,1433.680000,379.220000,119.300000,702,39,33114,31404,0.998308
Eastern Cape,SUP011,Savanna Brand Partners,Personal Care,6083,6035,39,1388.480000,507.130000,250.600000,312,22,6390,5959,0.992109
Western Cape,SUP009,Stellenridge Beverage Co.,Snacks & Drinks,42755,42709,32,1217.760000,379.400000,78.700000,936,40,44086,42084,0.998924
Western Cape,SUP011,Savanna Brand Partners,Personal Care,13334,13289,33,1180.980000,434.410000,163.700000,468,42,14117,13132,0.996625
KwaZulu-Natal,SUP011,Savanna Brand Partners,Personal Care,11256,11214,31,1108.370000,407.900000,149.500000,468,24,11853,11056,0.996269
Eastern Cape,SUP003,Cape Orchard & Press,Snacks & Drinks,13280,13259,21,838.360000,236.130000,86.800000,468,6,13693,13059,0.998419
KwaZulu-Natal,SUP009,Stellenridge Beverage Co.,Snacks & Drinks,32808,32782,19,729.610000,224.880000,73.000000,936,32,33637,32255,0.999208
Western Cape,SUP012,Peninsula Ambient Foods,Pantry Staples,57480,57454,19,681.780000,155.030000,53.000000,1170,60,59466,56527,0.999548
Gauteng,SUP003,Cape Orchard & Press,Snacks & Drinks,44679,44659,15,596.640000,167.230000,41.200000,936,60,46415,43946,0.999552
