Table,Field,DataType,TableGrain,Description,NullableInSample,Example
FactPurchaseOrders,ReceivedDate,object,Individual supplier purchase order,Received Date.,False,2026-02-27
FactPurchaseOrders,OrderedUnits,int64,Individual supplier purchase order,Ordered Units.,False,237
FactPurchaseOrders,ReceivedUnits,int64,Individual supplier purchase order,Received Units.,False,212
FactPurchaseOrders,FillRate,float64,Individual supplier purchase order,Received purchase-order units divided by ordered units.,False,0.8953
FactPurchaseOrders,DaysLate,int64,Individual supplier purchase order,Days Late.,False,0
FactPurchaseOrders,OnTimeFlag,bool,Individual supplier purchase order,True when the delivery is not later than its promised date.,False,True
FactPurchaseOrders,TemperatureBand,object,Individual supplier purchase order,Temperature Band.,False,Ambient
FactPurchaseOrders,DeliveryStatus,object,Individual supplier purchase order,Delivery Status.,False,Short
FactSalesWeekly,SalesRecordID,object,Store-product-week and record type,Unique weekly sales or return adjustment record.,False,SL000001
FactSalesWeekly,WeekStartDate,object,Store-product-week and record type,Monday starting the completed reporting week.,False,2026-02-23
FactSalesWeekly,StoreID,object,Store-product-week and record type,Approved store dimension key.,False,ST001
FactSalesWeekly,ProductID,object,Store-product-week and record type,Approved product assortment dimension key.,False,PR001
FactSalesWeekly,SupplierID,object,Store-product-week and record type,Approved primary supplier dimension key.,False,SUP001
FactSalesWeekly,RecordType,object,Store-product-week and record type,Record Type.,False,Sale
FactSalesWeekly,Units,int64,Store-product-week and record type,Units.,False,91
FactSalesWeekly,ListUnitPrice,float64,Store-product-week and record type,List Unit Price.,False,84.8
FactSalesWeekly,DiscountRate,float64,Store-product-week and record type,Discount Rate.,False,0.0819
FactSalesWeekly,GrossSales,float64,Store-product-week and record type,"Signed gross sales before discount, including return reversals.",False,7716.8
FactSalesWeekly,DiscountAmount,float64,Store-product-week and record type,Signed commercial discount on the sales or return record.,False,631.73
FactSalesWeekly,NetSales,float64,Store-product-week and record type,Gross sales less discount; includes signed returns.,False,7085.07
FactSalesWeekly,UnitCost,float64,Store-product-week and record type,Unit Cost.,False,64.08
FactSalesWeekly,CostOfGoodsSold,float64,Store-product-week and record type,Signed realised cost attached to sold or returned units.,False,5831.28
FactSalesWeekly,GrossProfit,float64,Store-product-week and record type,Net sales less recorded cost of goods sold.,False,1253.79
FactSalesWeekly,PromotionName,object,Store-product-week and record type,Approved campaign label; No promotion denotes a non-promoted record.,False,Month-end Essentials
FactSalesWeekly,BasketCount,int64,Store-product-week and record type,Basket Count.,False,49
FactStoreTargets,TargetID,object,Store and reporting week,Unique store-week management target.,False,TG00001
FactStoreTargets,WeekStartDate,object,Store and reporting week,Monday starting the completed reporting week.,False,2026-02-23
FactStoreTargets,StoreID,object,Store and reporting week,Approved store dimension key.,False,ST001
FactStoreTargets,NetSalesTarget,float64,Store and reporting week,Net Sales Target.,False,122718.81
FactStoreTargets,GrossMarginTarget,float64,Store and reporting week,Gross Margin Target.,False,0.29
FactStoreTargets,AvailabilityTarget,float64,Store and reporting week,Availability Target.,False,0.94
FactStoreTargets,SupplierFillRateTarget,float64,Store and reporting week,Supplier Fill Rate Target.,False,0.95
FactStoreTargets,OnTimeDeliveryTarget,float64,Store and reporting week,On Time Delivery Target.,False,0.93
