ProductID,ProductName,Brand,Category,SupplierID,ListUnitPrice,StandardUnitCost,BaseUnitMarginPct,DemandWeight,StorageType,RangeTier,InventoryTracked
PR039,Dishwashing liquid 750 ml,Clearwell,Home Care ,SUP004,31.9,20.33,0.3627,1.63,Ambient,Core,True
PR040,All-purpose cleaner 1 L,Bayline,Household Care,SUP010,39.24,26.3,0.3298,1.17,Ambient,Core,True
PR041,Toilet cleaner 750 ml,Bayline,Household Care,SUP010,33.05,21.06,0.3628,1.12,Ambient,Core,True
PR042,Fabric conditioner 2 L,Clearwell,Household Care,SUP004,75.26,51.97,0.3095,1.03,Ambient,Support,True
PR043,Bleach original 1.5 L,Bayline,Household Care,SUP010,28.51,19.05,0.3318,1.08,Ambient,Core,True
PR044,Laundry capsules 24 pack,Clearwell,Household Care,SUP004,120.75,84.74,0.2982,0.78,Ambient,Tail,False
PR045,Kitchen degreaser 500 ml,Bayline,Household Care,SUP010,43.49,26.58,0.3888,0.77,Ambient,Tail,False
PR046,Bin liners 30 pack,Home Ledger,Household Care,SUP011,37.72,22.84,0.3945,0.86,Ambient,Support,False
PR047,Handwash refill 750 ml,Clearwell,Household Care,SUP004,49.13,32.06,0.3474,0.96,Ambient,Support,True
PR048,Multipurpose wipes 80 pack,Home Ledger,Home Care ,SUP011,44.32,27.44,0.3809,0.88,Ambient,Support,False
PR049,Floor cleaner 1 L,Bayline,Household Care,SUP010,37.49,23.87,0.3633,0.72,Ambient,Tail,False
PR050,Laundry bar 500 g,Clearwell,Home Care ,SUP004,24.82,17.28,0.3038,1.04,Ambient,Support,True
PR051,Daily shampoo 400 ml,Good Harbour,Personal Care,SUP005,55.28,35.13,0.3645,1.21,Ambient,Core,True
PR052,Nourishing conditioner 400 ml,Good Harbour,Personal Care,SUP005,57.7,36.95,0.3596,0.93,Ambient,Support,True
PR053,Fresh deodorant 150 ml,Good Harbour,Personal Care,SUP005,39.93,24.41,0.3887,1.38,Ambient,Core,True
PR054,Sensitive toothpaste 100 ml,Brightline,Personal Care,SUP011,37.36,23.05,0.383,1.11,Ambient,Core,True
PR055,Family toothpaste 150 ml,Brightline,Personal Care,SUP011,34.37,22.17,0.355,1.22,Ambient,Core,True
PR056,Body lotion 400 ml,Good Harbour,Personal Care,SUP005,70.62,44.89,0.3643,1.01,Ambient,Support,True
PR057,Gentle body wash 500 ml,Good Harbour,Personal Care,SUP005,58.64,37.01,0.3689,1.12,Ambient,Core,True
PR058,Disposable razors 5 pack,Brightline,Personal Care,SUP011,46.17,28.03,0.3929,0.77,Ambient,Tail,False
PR059,Moisture soap 4 pack,Good Harbour,personal-care,,44.12,29.36,0.3345,1.07,Ambient,Core,True
PR060,Daily sunscreen SPF30 100 ml,Brightline,Personal Care,SUP011,96.02,59.1,0.3845,0.61,Ambient,Tail,False
PR061,Cotton buds 200 pack,Brightline,personal-care,SUP011,23.66,14.04,0.4066,0.74,Ambient,Tail,False
PR062,Apple juice 1 L,Cape Press,Snacks & Drinks,SUP003,34.8,25.31,0.2727,1.22,Ambient,Core,True
PR063,Orange juice 1 L,Cape Press,Snacks & Drinks,SUP003,36.77,26.95,0.2671,1.31,Ambient,Core,True
PR064,Sparkling water 6 pack,Ridgewater,Snacks & Drinks,SUP009,50.0,33.51,0.3298,1.12,Ambient,Core,True
PR065,Still water 6 pack,Ridgewater,Snacks & Drinks,SUP009,43.97,30.37,0.3093,1.19,Ambient,Core,True
PR066,Cola zero sugar 2 L,Ridgewater,Snacks & Drinks,SUP009,30.07,21.06,0.2996,1.37,Ambient,Core,True
PR067,Ginger beer 2 L,Ridgewater,Snacks & Drinks,SUP009,32.29,21.91,0.3215,0.96,Ambient,Support,True
PR068,Salted potato crisps 125 g,Field Kitchen,Snacks & Drinks,SUP011,24.99,15.48,0.3806,1.58,Ambient,Core,True
PR069,Cheddar potato crisps 125 g,Field Kitchen,Snacks & Drinks,SUP011,25.34,15.87,0.3737,1.32,Ambient,Core,True
PR070,Roasted mixed nuts 250 g,Cape Press,Snacks & Drinks,SUP003,65.74,44.23,0.3272,0.84,Ambient,Support,False
PR071,Dark chocolate slab 100 g,Field Kitchen,Snacks & Drinks,SUP011,29.82,18.36,0.3843,1.05,Ambient,Support,True
PR072,Milk chocolate slab 100 g,Field Kitchen,Snacks and Drinks,SUP011,28.69,17.92,0.3754,1.12,Ambient,Core,True
PR073,Fruit juice boxes 6 pack,Cape Press,Snacks & Drinks,SUP003,46.87,32.51,0.3064,0.93,Ambient,Support,True
PR074,Rooibos iced tea 1.5 L,Ridgewater,Snacks & Drinks,SUP009,37.88,24.52,0.3527,0.81,Ambient,Support,False
PR075,Trail mix cranberry 200 g,Cape Press,Snacks & Drinks,SUP003,49.55,31.75,0.3592,0.76,Ambient,Tail,False
PR076,Cheese crackers 200 g,Field Kitchen,Snacks and Drinks,SUP011,29.62,18.37,0.3798,0.97,Ambient,Support,True
PR077,Salted popcorn 100 g,Field Kitchen,Snacks & Drinks,SUP011,19.88,11.89,0.4019,1.04,Ambient,Support,True
PR012,Chicken stock cubes 24 pack ,Field Kitchen,pantry staples ,SUP011,38.41,24.06,0.3736,0.79,Ambient,Support,False
PR009,Smooth peanut butter 800 g ,Field Kitchen,pantry staples ,SUP011,73.66,53.36,0.2756,1.12,Ambient,Core,True
PR018,Cheddar cheese block 700 g ,Northfield Dairy,Chilled Dairy,SUP002,108.97,90.11,0.1731,1.29,Chilled,Core,True
PR067,Ginger beer 2 L ,Ridgewater,Snacks & Drinks,SUP009,32.29,21.91,0.3215,0.96,Ambient,Support,True
