InventoryRecordID,WeekStartDate,StoreID,ProductID,SupplierID,OpeningUnits,OrderedUnits,ReceivedUnits,ExpectedDemandUnits,FulfilledDemandUnits,ClosingUnits,DaysCover,AvailabilityRate,StockoutHours,EstimatedLostUnits,EstimatedLostSales,EstimatedLostGrossProfit,LateDeliveryDays
IN000093,2026-02-23,ST002,PR052,SUP005,21,22,20,31,31,10,2.3,1.0,0.0,0,0.0,0.0,0
IN000094,2026-02-23,ST002,PR053,SUP005,29,42,39,51,51,17,2.3,1.0,0.0,0,0.0,0.0,0
IN000095,2026-02-23,ST002,PR054,SUP011,23,18,16,29,29,10,2.4,1.0,0.0,0,0.0,0.0,0
IN000096,2026-02-23,ST002,PR055,SUP011,26,31,28,41,41,13,2.2,1.0,0.0,0,0.0,0.0,0
IN000097,2026-02-23,ST002,PR056,SUP005,19,33,30,37,37,12,2.3,1.0,0.0,0,0.0,0.0,0
IN000098,2026-02-23,ST002,PR057,SUP005,20,18,17,27,27,10,2.6,1.0,0.0,0,0.0,0.0,0
IN000099,2026-02-23,ST002,PR059,SUP005,20,23,21,31,31,10,2.3,1.0,0.0,0,0.0,0.0,0
IN000100,2026-02-23,ST002,PR062,SUP003,39,65,62,74,74,27,2.6,1.0,0.0,0,0.0,0.0,0
IN000101,2026-02-23,ST002,PR063,SUP003,49,53,50,73,73,26,2.5,1.0,0.0,0,0.0,0.0,0
IN000102,2026-02-23,ST002,PR064,SUP009,35,36,35,51,51,19,2.6,1.0,0.0,0,0.0,0.0,0
IN000103,2026-02-23,ST002,PR065,SUP009,48,37,35,61,61,22,2.5,1.0,0.0,0,0.0,0.0,0
IN000104,2026-02-23,ST002,PR066,SUP009,42,85,85,91,91,36,2.8,1.0,0.0,0,0.0,0.0,0
IN000105,2026-02-23,ST002,PR067,SUP009,39,58,52,69,69,22,2.2,1.0,0.0,0,0.0,0.0,0
IN000106,2026-02-23,ST002,PR068,SUP011,46,76,68,87,87,27,2.2,1.0,0.0,0,0.0,0.0,0
IN000107,2026-02-23,ST002,PR069,SUP011,36,48,43,60,60,19,2.2,1.0,0.0,0,0.0,0.0,0
IN000108,2026-02-23,ST002,PR071,SUP011,37,26,23,45,45,15,2.3,1.0,0.0,0,0.0,0.0,0
IN000109,2026-02-23,ST002,PR072,SUP011,34,57,51,65,65,20,2.2,1.0,0.0,0,0.0,0.0,0
IN000110,2026-02-23,ST002,PR073,SUP003,31,50,47,58,58,20,2.4,1.0,0.0,0,0.0,0.0,0
IN000111,2026-02-23,ST002,PR076,SUP011,57,41,37,70,70,24,2.4,1.0,0.0,0,0.0,0.0,0
IN000112,2026-02-23,ST002,PR077,SUP011,24,22,20,33,33,11,2.3,1.0,0.0,0,0.0,0.0,0
IN000113,2026-02-23,ST003,PR001,SUP001,60,53,48,86,86,22,1.8,1.0,0.0,0,0.0,0.0,0
IN000114,2026-02-23,ST003,PR002,SUP001,20,40,36,46,46,10,1.5,1.0,0.0,0,0.0,0.0,0
IN000115,2026-02-23,ST003,PR004,SUP008,30,45,41,57,57,14,1.7,1.0,0.0,0,0.0,0.0,0
IN000116,2026-02-23,ST003,PR006,SUP012,37,46,46,63,63,20,2.2,1.0,0.0,0,0.0,0.0,0
IN000117,2026-02-23,ST003,PR007,SUP012,38,37,37,57,57,18,2.2,1.0,0.0,0,0.0,0.0,0
IN000118,2026-02-23,ST003,PR008,SUP012,47,30,30,59,59,18,2.1,1.0,0.0,0,0.0,0.0,0
IN000119,2026-02-23,ST003,PR009,SUP011,39,29,27,52,52,14,1.9,1.0,0.0,0,0.0,0.0,0
IN000120,2026-02-23,ST003,PR010,SUP012,35,20,20,42,42,13,2.2,1.0,0.0,0,0.0,0.0,0
IN000121,2026-02-23,ST003,PR011,SUP012,24,35,35,45,45,14,2.2,1.0,0.0,0,0.0,0.0,0
IN000122,2026-02-23,ST003,PR013,SUP011,50,27,25,59,59,16,1.9,1.0,0.0,0,0.0,0.0,0
IN000123,2026-02-23,ST003,PR014,SUP008,26,37,34,48,48,12,1.8,1.0,0.0,0,0.0,0.0,0
IN000124,2026-02-23,ST003,PR015,SUP002,45,77,71,93,93,23,1.7,1.0,0.0,0,0.0,0.0,0
IN000125,2026-02-23,ST003,PR016,SUP002,53,26,26,60,60,19,2.2,1.0,0.0,0,0.0,0.0,0
IN000126,2026-02-23,ST003,PR017,SUP002,38,39,36,59,59,15,1.8,1.0,0.0,0,0.0,0.0,0
IN000127,2026-02-23,ST003,PR018,SUP002,46,29,27,57,57,16,2.0,1.0,0.0,0,0.0,0.0,0
IN000128,2026-02-23,ST003,PR019,SUP002,21,12,11,25,25,7,2.0,1.0,0.0,0,0.0,0.0,0
IN000129,2026-02-23,ST003,PR020,SUP007,34,33,31,51,51,14,1.9,1.0,0.0,0,0.0,0.0,0
IN000130,2026-02-23,ST003,PR021,SUP007,41,42,39,63,63,17,1.9,1.0,0.0,0,0.0,0.0,0
IN000131,2026-02-23,ST003,PR022,SUP002,24,32,30,43,43,11,1.8,1.0,0.0,0,0.0,0.0,0
IN000132,2026-02-23,ST003,PR023,SUP007,15,32,30,36,36,9,1.7,1.0,0.0,0,0.0,0.0,0
IN000133,2026-02-23,ST003,PR026,SUP002,16,15,14,24,24,6,1.8,1.0,0.0,0,0.0,0.0,0
IN000134,2026-02-23,ST003,PR027,SUP006,48,48,43,73,73,18,1.7,1.0,0.0,0,0.0,0.0,0
IN000135,2026-02-23,ST003,PR028,SUP006,19,37,37,43,43,13,2.1,1.0,0.0,0,0.0,0.0,0
IN000136,2026-02-23,ST003,PR029,SUP006,22,36,35,44,44,13,2.1,1.0,0.0,0,0.0,0.0,0
IN000137,2026-02-23,ST003,PR031,SUP006,38,46,44,64,64,18,2.0,1.0,0.0,0,0.0,0.0,0
IN000138,2026-02-23,ST003,PR032,SUP006,27,35,35,47,47,15,2.2,1.0,0.0,0,0.0,0.0,0
IN000139,2026-02-23,ST003,PR035,SUP006,26,36,34,47,47,13,1.9,1.0,0.0,0,0.0,0.0,0
IN000140,2026-02-23,ST003,PR038,SUP004,18,38,35,43,43,10,1.6,1.0,0.0,0,0.0,0.0,0
IN000141,2026-02-23,ST003,PR039,SUP004,32,23,21,42,42,11,1.8,1.0,0.0,0,0.0,0.0,0
IN000142,2026-02-23,ST003,PR040,SUP010,31,24,22,42,42,11,1.8,1.0,0.0,0,0.0,0.0,0
IN000143,2026-02-23,ST003,PR041,SUP010,18,20,19,29,29,8,1.9,1.0,0.0,0,0.0,0.0,0
IN000144,2026-02-23,ST003,PR042,SUP004,27,21,19,37,37,9,1.7,1.0,0.0,0,0.0,0.0,0
IN000145,2026-02-23,ST003,PR043,SUP010,12,23,22,27,27,7,1.8,1.0,0.0,0,0.0,0.0,0
IN000146,2026-02-23,ST003,PR047,SUP004,20,10,9,23,23,6,1.8,1.0,0.0,0,0.0,0.0,0
IN000147,2026-02-23,ST003,PR050,SUP004,22,21,19,33,33,8,1.7,1.0,0.0,0,0.0,0.0,0
IN000148,2026-02-23,ST003,PR051,SUP005,16,22,22,29,29,9,2.2,1.0,0.0,0,0.0,0.0,0
IN000149,2026-02-23,ST003,PR052,SUP005,16,17,17,25,25,8,2.2,1.0,0.0,0,0.0,0.0,0
IN000150,2026-02-23,ST003,PR053,SUP005,26,12,11,29,29,8,1.9,1.0,0.0,0,0.0,0.0,0
IN000151,2026-02-23,ST003,PR054,SUP011,12,22,20,26,26,6,1.6,1.0,0.0,0,0.0,0.0,0
IN000152,2026-02-23,ST003,PR055,SUP011,36,22,20,44,44,12,1.9,1.0,0.0,0,0.0,0.0,0
IN000153,2026-02-23,ST003,PR056,SUP005,12,14,13,20,20,5,1.8,1.0,0.0,0,0.0,0.0,0
IN000154,2026-02-23,ST003,PR057,SUP005,24,11,10,27,27,7,1.8,1.0,0.0,0,0.0,0.0,0
IN000155,2026-02-23,ST003,PR059,SUP005,9,20,18,22,22,5,1.6,1.0,0.0,0,0.0,0.0,0
IN000156,2026-02-23,ST003,PR062,SUP003,40,41,39,62,62,17,1.9,1.0,0.0,0,0.0,0.0,0
IN000157,2026-02-23,ST003,PR063,SUP003,48,23,22,54,54,16,2.1,1.0,0.0,0,0.0,0.0,0
IN000158,2026-02-23,ST003,PR064,SUP009,30,22,21,40,40,11,1.9,1.0,0.0,0,0.0,0.0,0
IN000159,2026-02-23,ST003,PR065,SUP009,30,16,15,35,35,10,2.0,1.0,0.0,0,0.0,0.0,0
IN000160,2026-02-23,ST003,PR066,SUP009,35,37,35,55,55,15,1.9,1.0,0.0,0,0.0,0.0,0
IN000161,2026-02-23,ST003,PR067,SUP009,24,19,18,33,33,9,1.9,1.0,0.0,0,0.0,0.0,0
IN000162,2026-02-23,ST003,PR068,SUP011,42,41,40,63,63,19,2.1,1.0,0.0,0,0.0,0.0,0
IN000163,2026-02-23,ST003,PR069,SUP011,29,48,44,59,59,14,1.7,1.0,0.0,0,0.0,0.0,0
IN000164,2026-02-23,ST003,PR071,SUP011,22,25,23,36,36,9,1.7,1.0,0.0,0,0.0,0.0,0
IN000165,2026-02-23,ST003,PR072,SUP011,28,18,16,35,35,9,1.8,1.0,0.0,0,0.0,0.0,0
IN000166,2026-02-23,ST003,PR073,SUP003,28,17,16,34,34,10,2.1,1.0,0.0,0,0.0,0.0,0
IN000167,2026-02-23,ST003,PR076,SUP011,32,20,19,40,40,11,1.9,1.0,0.0,0,0.0,0.0,0
IN000168,2026-02-23,ST003,PR077,SUP011,18,28,27,35,35,10,2.0,1.0,0.0,0,0.0,0.0,0
IN000169,2026-02-23,ST004,PR001,SUP001,64,44,44,96,96,12,0.9,1.0,0.0,0,0.0,0.0,0
IN000170,2026-02-23,ST004,PR002,SUP001,48,25,25,65,65,8,0.9,1.0,0.0,0,0.0,0.0,0
IN000171,2026-02-23,ST004,PR004,SUP008,40,26,23,59,59,4,0.5,1.0,0.0,0,0.0,0.0,0
IN000172,2026-02-23,ST004,PR006,SUP012,45,26,25,63,63,7,0.8,1.0,0.0,0,0.0,0.0,0
IN000173,2026-02-23,ST004,PR007,SUP012,45,13,12,52,52,5,0.7,1.0,0.0,0,0.0,0.0,0
IN000174,2026-02-23,ST004,PR008,SUP012,36,17,16,47,47,5,0.7,1.0,0.0,0,0.0,0.0,0
IN000175,2026-02-23,ST004,PR009,SUP011,26,15,15,37,37,4,0.8,1.0,0.0,0,0.0,0.0,0
IN000176,2026-02-23,ST004,PR010,SUP012,21,29,27,45,45,3,0.5,1.0,0.0,0,0.0,0.0,0
IN000177,2026-02-23,ST004,PR011,SUP012,29,19,18,43,43,4,0.7,1.0,0.0,0,0.0,0.0,0
IN000178,2026-02-23,ST004,PR013,SUP011,24,33,32,51,51,5,0.7,1.0,0.0,0,0.0,0.0,0
IN000179,2026-02-23,ST004,PR014,SUP008,26,10,9,32,32,3,0.7,1.0,0.0,0,0.0,0.0,0
IN000180,2026-02-23,ST004,PR015,SUP002,38,50,45,79,79,4,0.4,1.0,0.0,0,0.0,0.0,0
IN000181,2026-02-23,ST004,PR016,SUP002,30,36,32,59,59,3,0.4,1.0,0.0,0,0.0,0.0,0
IN000182,2026-02-23,ST004,PR017,SUP002,21,33,30,48,47,4,0.6,0.9792,1.7,1,49.25,12.37,0
IN000183,2026-02-23,ST004,PR018,SUP002,25,14,13,35,35,3,0.6,1.0,0.0,0,0.0,0.0,0
IN000184,2026-02-23,ST004,PR019,SUP002,28,8,7,32,32,3,0.7,1.0,0.0,0,0.0,0.0,0
IN000185,2026-02-23,ST004,PR020,SUP007,30,23,21,47,47,4,0.6,1.0,0.0,0,0.0,0.0,0
IN000186,2026-02-23,ST004,PR021,SUP007,42,21,19,56,56,5,0.6,1.0,0.0,0,0.0,0.0,0
IN000187,2026-02-23,ST004,PR022,SUP002,41,12,11,47,47,5,0.7,1.0,0.0,0,0.0,0.0,0
IN000188,2026-02-23,ST004,PR023,SUP007,25,20,18,40,40,3,0.5,1.0,0.0,0,0.0,0.0,0
IN000189,2026-02-23,ST004,PR027,SUP006,24,30,30,48,48,6,0.9,1.0,0.0,0,0.0,0.0,0
IN000190,2026-02-23,ST004,PR028,SUP006,21,14,13,31,31,3,0.7,1.0,0.0,0,0.0,0.0,0
IN000191,2026-02-23,ST004,PR029,SUP006,22,16,16,34,34,4,0.8,1.0,0.0,0,0.0,0.0,0
IN000192,2026-02-23,ST004,PR031,SUP006,30,14,13,39,39,4,0.7,1.0,0.0,0,0.0,0.0,0
IN000193,2026-02-23,ST004,PR032,SUP006,25,13,13,34,34,4,0.8,1.0,0.0,0,0.0,0.0,0
IN000194,2026-02-23,ST004,PR035,SUP006,36,28,26,57,57,5,0.6,1.0,0.0,0,0.0,0.0,0
IN000195,2026-02-23,ST004,PR038,SUP004,15,22,21,33,33,3,0.6,1.0,0.0,0,0.0,0.0,0
IN000196,2026-02-23,ST004,PR039,SUP004,28,17,16,40,40,4,0.7,1.0,0.0,0,0.0,0.0,0
IN000197,2026-02-23,ST004,PR040,SUP010,22,18,17,36,36,3,0.6,1.0,0.0,0,0.0,0.0,0
IN000198,2026-02-23,ST004,PR041,SUP010,20,27,26,42,42,4,0.7,1.0,0.0,0,0.0,0.0,0
IN000199,2026-02-23,ST004,PR042,SUP004,18,16,15,30,30,3,0.7,1.0,0.0,0,0.0,0.0,0
IN000200,2026-02-23,ST004,PR043,SUP010,9,11,10,18,18,1,0.4,1.0,0.0,0,0.0,0.0,0
IN000201,2026-02-23,ST004,PR047,SUP004,10,14,13,21,21,2,0.7,1.0,0.0,0,0.0,0.0,0
IN000202,2026-02-23,ST004,PR050,SUP004,19,9,8,25,25,2,0.6,1.0,0.0,0,0.0,0.0,0
IN000203,2026-02-23,ST004,PR051,SUP005,13,16,14,26,26,1,0.3,1.0,0.0,0,0.0,0.0,0
IN000204,2026-02-23,ST004,PR052,SUP005,17,7,6,21,21,2,0.7,1.0,0.0,0,0.0,0.0,0
IN000205,2026-02-23,ST004,PR053,SUP005,16,8,7,21,21,2,0.7,1.0,0.0,0,0.0,0.0,0
IN000206,2026-02-23,ST004,PR054,SUP011,22,8,8,27,27,3,0.8,1.0,0.0,0,0.0,0.0,0
IN000207,2026-02-23,ST004,PR055,SUP011,11,17,17,25,25,3,0.8,1.0,0.0,0,0.0,0.0,0
IN000208,2026-02-23,ST004,PR056,SUP005,13,14,12,24,24,1,0.3,1.0,0.0,0,0.0,0.0,0
IN000209,2026-02-23,ST004,PR057,SUP005,11,9,8,18,18,1,0.4,1.0,0.0,0,0.0,0.0,0
IN000210,2026-02-23,ST004,PR059,SUP005,17,10,9,24,24,2,0.6,1.0,0.0,0,0.0,0.0,0
IN000211,2026-02-23,ST004,PR062,SUP003,37,13,13,45,45,5,0.8,1.0,0.0,0,0.0,0.0,0
IN000212,2026-02-23,ST004,PR063,SUP003,31,12,12,38,38,5,0.9,1.0,0.0,0,0.0,0.0,0
IN000213,2026-02-23,ST004,PR064,SUP009,16,22,20,34,34,2,0.4,1.0,0.0,0,0.0,0.0,0
IN000214,2026-02-23,ST004,PR065,SUP009,15,23,20,34,34,1,0.2,1.0,0.0,0,0.0,0.0,0
IN000215,2026-02-23,ST004,PR066,SUP009,28,28,25,50,50,3,0.4,1.0,0.0,0,0.0,0.0,0
IN000216,2026-02-23,ST004,PR067,SUP009,25,7,6,29,29,2,0.5,1.0,0.0,0,0.0,0.0,0
IN000217,2026-02-23,ST004,PR068,SUP011,33,15,15,43,43,5,0.8,1.0,0.0,0,0.0,0.0,0
IN000218,2026-02-23,ST004,PR069,SUP011,30,20,19,45,45,4,0.6,1.0,0.0,0,0.0,0.0,0
IN000219,2026-02-23,ST004,PR071,SUP011,16,15,15,28,28,3,0.8,1.0,0.0,0,0.0,0.0,0
IN000220,2026-02-23,ST004,PR072,SUP011,16,13,13,26,26,3,0.8,1.0,0.0,0,0.0,0.0,0
IN000221,2026-02-23,ST004,PR073,SUP003,26,19,19,40,40,5,0.9,1.0,0.0,0,0.0,0.0,0
IN000222,2026-02-23,ST004,PR076,SUP011,22,12,12,30,30,4,0.9,1.0,0.0,0,0.0,0.0,0
IN000223,2026-02-23,ST004,PR077,SUP011,15,23,22,34,34,3,0.6,1.0,0.0,0,0.0,0.0,0
IN000224,2026-02-23,ST005,PR001,SUP001,131,82,78,152,152,57,2.6,1.0,0.0,0,0.0,0.0,0
