TargetID,WeekStartDate,StoreID,NetSalesTarget,GrossMarginTarget,AvailabilityTarget,SupplierFillRateTarget,OnTimeDeliveryTarget
TG00030,2026-02-23,ST030,146898.61,0.29,0.94,0.95,0.93
TG00031,2026-02-23,ST031,135238.85,0.29,0.94,0.95,0.93
TG00032,2026-02-23,ST032,102896.54,0.29,0.94,0.95,0.93
TG00033,2026-02-23,ST033,62396.32,0.29,0.94,0.95,0.93
TG00034,2026-02-23,ST034,93108.26,0.29,0.94,0.95,0.93
TG00035,2026-02-23,ST035,113169.2,0.29,0.94,0.95,0.93
TG00036,2026-02-23,ST036,72704.0,0.29,0.94,0.95,0.93
TG00037,2026-03-02,ST001,118641.22,0.29,0.94,0.95,0.93
TG00038,2026-03-02,ST002,204517.28,0.29,0.94,0.95,0.93
TG00039,2026-03-02,ST003,147204.16,0.29,0.94,0.95,0.93
TG00040,2026-03-02,ST004,119522.37,0.29,0.94,0.95,0.93
TG00041,2026-03-02,ST005,205028.67,0.29,0.94,0.95,0.93
TG00042,2026-03-02,ST006,175081.43,0.29,0.94,0.95,0.93
TG00043,2026-03-02,ST007,169850.94,0.29,0.94,0.95,0.93
TG00044,2026-03-02,ST008,197304.2,0.29,0.94,0.95,0.93
TG00045,2026-03-02,ST009,141630.1,0.29,0.94,0.95,0.93
TG00046,2026-03-02,ST010,104767.15,0.29,0.94,0.95,0.93
TG00047,2026-03-02,ST011,141940.54,0.29,0.94,0.95,0.93
TG00048,2026-03-02,ST012,151708.37,0.29,0.94,0.95,0.93
TG00049,2026-03-02,ST013,153616.84,0.29,0.94,0.95,0.93
TG00050,2026-03-02,ST014,87466.99,0.29,0.94,0.95,0.93
TG00051,2026-03-02,ST015,154453.84,0.29,0.94,0.95,0.93
TG00052,2026-03-02,ST016,155661.88,0.29,0.94,0.95,0.93
TG00053,2026-03-02,ST017,78688.17,0.29,0.94,0.95,0.93
TG00054,2026-03-02,ST018,134957.18,0.29,0.94,0.95,0.93
TG00055,2026-03-02,ST019,182272.57,0.29,0.94,0.95,0.93
TG00056,2026-03-02,ST020,117550.25,0.29,0.94,0.95,0.93
TG00057,2026-03-02,ST021,147168.31,0.29,0.94,0.95,0.93
TG00058,2026-03-02,ST022,95170.13,0.29,0.94,0.95,0.93
TG00059,2026-03-02,ST023,155715.33,0.29,0.94,0.95,0.93
TG00060,2026-03-02,ST024,105329.91,0.29,0.94,0.95,0.93
TG00061,2026-03-02,ST025,95204.02,0.29,0.94,0.95,0.93
TG00062,2026-03-02,ST026,131102.17,0.29,0.94,0.95,0.93
TG00063,2026-03-02,ST027,134591.99,0.29,0.94,0.95,0.93
TG00064,2026-03-02,ST028,69663.74,0.29,0.94,0.95,0.93
TG00065,2026-03-02,ST029,108045.93,0.29,0.94,0.95,0.93
TG00066,2026-03-02,ST030,135510.14,0.29,0.94,0.95,0.93
TG00067,2026-03-02,ST031,124343.78,0.29,0.94,0.95,0.93
TG00068,2026-03-02,ST032,105696.08,0.29,0.94,0.95,0.93
TG00069,2026-03-02,ST033,63635.55,0.29,0.94,0.95,0.93
TG00070,2026-03-02,ST034,90232.46,0.29,0.94,0.95,0.93
TG00071,2026-03-02,ST035,118987.68,0.29,0.94,0.95,0.93
TG00072,2026-03-02,ST036,72212.01,0.29,0.94,0.95,0.93
TG00073,2026-03-09,ST001,115037.95,0.29,0.94,0.95,0.93
TG00074,2026-03-09,ST002,212452.47,0.29,0.94,0.95,0.93
TG00075,2026-03-09,ST003,147237.05,0.29,0.94,0.95,0.93
TG00076,2026-03-09,ST004,118068.53,0.29,0.94,0.95,0.93
TG00077,2026-03-09,ST005,214529.96,0.29,0.94,0.95,0.93
TG00078,2026-03-09,ST006,171063.98,0.29,0.94,0.95,0.93
TG00079,2026-03-09,ST007,165158.72,0.29,0.94,0.95,0.93
TG00080,2026-03-09,ST008,201190.1,0.29,0.94,0.95,0.93
TG00081,2026-03-09,ST009,130096.47,0.29,0.94,0.95,0.93
TG00082,2026-03-09,ST010,104610.17,0.29,0.94,0.95,0.93
TG00083,2026-03-09,ST011,128029.55,0.29,0.94,0.95,0.93
TG00084,2026-03-09,ST012,148670.34,0.29,0.94,0.95,0.93
TG00085,2026-03-09,ST013,147477.13,0.29,0.94,0.95,0.93
TG00086,2026-03-09,ST014,90230.99,0.29,0.94,0.95,0.93
TG00087,2026-03-09,ST015,154881.66,0.29,0.94,0.95,0.93
TG00088,2026-03-09,ST016,154170.74,0.29,0.94,0.95,0.93
TG00089,2026-03-09,ST017,79225.93,0.29,0.94,0.95,0.93
TG00090,2026-03-09,ST018,132115.58,0.29,0.94,0.95,0.93
TG00091,2026-03-09,ST019,181428.05,0.29,0.94,0.95,0.93
TG00092,2026-03-09,ST020,112746.14,0.29,0.94,0.95,0.93
TG00093,2026-03-09,ST021,148184.08,0.29,0.94,0.95,0.93
TG00094,2026-03-09,ST022,103665.82,0.29,0.94,0.95,0.93
TG00095,2026-03-09,ST023,154841.74,0.29,0.94,0.95,0.93
TG00096,2026-03-09,ST024,109275.44,0.29,0.94,0.95,0.93
TG00097,2026-03-09,ST025,104264.19,0.29,0.94,0.95,0.93
TG00098,2026-03-09,ST026,125573.15,0.29,0.94,0.95,0.93
TG00099,2026-03-09,ST027,130885.91,0.29,0.94,0.95,0.93
TG00100,2026-03-09,ST028,68852.77,0.29,0.94,0.95,0.93
TG00101,2026-03-09,ST029,112197.02,0.29,0.94,0.95,0.93
TG00102,2026-03-09,ST030,139045.76,0.29,0.94,0.95,0.93
TG00103,2026-03-09,ST031,128088.84,0.29,0.94,0.95,0.93
TG00104,2026-03-09,ST032,103459.17,0.29,0.94,0.95,0.93
TG00105,2026-03-09,ST033,66127.03,0.29,0.94,0.95,0.93
TG00106,2026-03-09,ST034,91767.55,0.29,0.94,0.95,0.93
TG00107,2026-03-09,ST035,110120.14,0.29,0.94,0.95,0.93
TG00108,2026-03-09,ST036,75072.48,0.29,0.94,0.95,0.93
TG00109,2026-03-16,ST001,123790.47,0.29,0.94,0.95,0.93
TG00110,2026-03-16,ST002,201750.39,0.29,0.94,0.95,0.93
TG00111,2026-03-16,ST003,145229.39,0.29,0.94,0.95,0.93
TG00112,2026-03-16,ST004,115589.54,0.29,0.94,0.95,0.93
TG00113,2026-03-16,ST005,217245.4,0.29,0.94,0.95,0.93
TG00114,2026-03-16,ST006,163874.98,0.29,0.94,0.95,0.93
TG00115,2026-03-16,ST007,162048.91,0.29,0.94,0.95,0.93
TG00116,2026-03-16,ST008,197191.05,0.29,0.94,0.95,0.93
TG00117,2026-03-16,ST009,132584.48,0.29,0.94,0.95,0.93
TG00118,2026-03-16,ST010,101477.21,0.29,0.94,0.95,0.93
TG00119,2026-03-16,ST011,135644.78,0.29,0.94,0.95,0.93
TG00120,2026-03-16,ST012,147723.85,0.29,0.94,0.95,0.93
TG00121,2026-03-16,ST013,155875.62,0.29,0.94,0.95,0.93
TG00122,2026-03-16,ST014,91952.68,0.29,0.94,0.95,0.93
TG00123,2026-03-16,ST015,153392.83,0.29,0.94,0.95,0.93
TG00124,2026-03-16,ST016,158896.54,0.29,0.94,0.95,0.93
TG00125,2026-03-16,ST017,87312.91,0.29,0.94,0.95,0.93
TG00126,2026-03-16,ST018,134769.76,0.29,0.94,0.95,0.93
TG00127,2026-03-16,ST019,183116.86,0.29,0.94,0.95,0.93
TG00128,2026-03-16,ST020,107755.6,0.29,0.94,0.95,0.93
TG00129,2026-03-16,ST021,151823.26,0.29,0.94,0.95,0.93
TG00130,2026-03-16,ST022,103795.69,0.29,0.94,0.95,0.93
TG00131,2026-03-16,ST023,154071.45,0.29,0.94,0.95,0.93
TG00132,2026-03-16,ST024,102117.1,0.29,0.94,0.95,0.93
TG00133,2026-03-16,ST025,96169.25,0.29,0.94,0.95,0.93
TG00134,2026-03-16,ST026,129913.39,0.29,0.94,0.95,0.93
TG00135,2026-03-16,ST027,132733.92,0.29,0.94,0.95,0.93
TG00136,2026-03-16,ST028,69424.03,0.29,0.94,0.95,0.93
TG00137,2026-03-16,ST029,113093.29,0.29,0.94,0.95,0.93
TG00138,2026-03-16,ST030,143180.23,0.29,0.94,0.95,0.93
TG00139,2026-03-16,ST031,131009.06,0.29,0.94,0.95,0.93
TG00140,2026-03-16,ST032,102600.44,0.29,0.94,0.95,0.93
TG00141,2026-03-16,ST033,63692.24,0.29,0.94,0.95,0.93
TG00142,2026-03-16,ST034,93144.03,0.29,0.94,0.95,0.93
TG00143,2026-03-16,ST035,113538.63,0.29,0.94,0.95,0.93
TG00144,2026-03-16,ST036,69042.52,0.29,0.94,0.95,0.93
TG00145,2026-03-23,ST001,117105.02,0.29,0.94,0.95,0.93
TG00146,2026-03-23,ST002,215149.9,0.29,0.94,0.95,0.93
TG00147,2026-03-23,ST003,154632.67,0.29,0.94,0.95,0.93
TG00148,2026-03-23,ST004,110991.41,0.29,0.94,0.95,0.93
TG00149,2026-03-23,ST005,219269.05,0.29,0.94,0.95,0.93
TG00150,2026-03-23,ST006,170336.62,0.29,0.94,0.95,0.93
TG00151,2026-03-23,ST007,172118.83,0.29,0.94,0.95,0.93
TG00152,2026-03-23,ST008,202642.54,0.29,0.94,0.95,0.93
TG00153,2026-03-23,ST009,135390.29,0.29,0.94,0.95,0.93
TG00154,2026-03-23,ST010,103830.14,0.29,0.94,0.95,0.93
TG00155,2026-03-23,ST011,145704.67,0.29,0.94,0.95,0.93
TG00156,2026-03-23,ST012,152030.03,0.29,0.94,0.95,0.93
TG00157,2026-03-23,ST013,153804.15,0.29,0.94,0.95,0.93
TG00158,2026-03-23,ST014,93305.34,0.29,0.94,0.95,0.93
TG00159,2026-03-23,ST015,155627.41,0.29,0.94,0.95,0.93
TG00160,2026-03-23,ST016,162041.32,0.29,0.94,0.95,0.93
TG00161,2026-03-23,ST017,81976.51,0.29,0.94,0.95,0.93
TG00162,2026-03-23,ST018,134711.56,0.29,0.94,0.95,0.93
TG00163,2026-03-23,ST019,200197.19,0.29,0.94,0.95,0.93
TG00164,2026-03-23,ST020,116871.1,0.29,0.94,0.95,0.93
TG00165,2026-03-23,ST021,151034.79,0.29,0.94,0.95,0.93
TG00166,2026-03-23,ST022,99121.1,0.29,0.94,0.95,0.93
TG00167,2026-03-23,ST023,156684.7,0.29,0.94,0.95,0.93
TG00168,2026-03-23,ST024,106977.21,0.29,0.94,0.95,0.93
TG00169,2026-03-23,ST025,94689.83,0.29,0.94,0.95,0.93
TG00170,2026-03-23,ST026,130211.91,0.29,0.94,0.95,0.93
TG00171,2026-03-23,ST027,137613.05,0.29,0.94,0.95,0.93
TG00172,2026-03-23,ST028,73423.5,0.29,0.94,0.95,0.93
TG00173,2026-03-23,ST029,121617.79,0.29,0.94,0.95,0.93
TG00174,2026-03-23,ST030,139037.52,0.29,0.94,0.95,0.93
TG00175,2026-03-23,ST031,128472.0,0.29,0.94,0.95,0.93
TG00176,2026-03-23,ST032,104872.41,0.29,0.94,0.95,0.93
TG00177,2026-03-23,ST033,62789.51,0.29,0.94,0.95,0.93
TG00178,2026-03-23,ST034,89843.16,0.29,0.94,0.95,0.93
TG00179,2026-03-23,ST035,119027.76,0.29,0.94,0.95,0.93
TG00180,2026-03-23,ST036,74409.02,0.29,0.94,0.95,0.93
TG00181,2026-03-30,ST001,128407.66,0.29,0.94,0.95,0.93
TG00182,2026-03-30,ST002,211038.75,0.29,0.94,0.95,0.93
TG00183,2026-03-30,ST003,160267.29,0.29,0.94,0.95,0.93
TG00184,2026-03-30,ST004,119256.57,0.29,0.94,0.95,0.93
TG00185,2026-03-30,ST005,231535.37,0.29,0.94,0.95,0.93
TG00186,2026-03-30,ST006,173316.16,0.29,0.94,0.95,0.93
TG00187,2026-03-30,ST007,178644.02,0.29,0.94,0.95,0.93
TG00188,2026-03-30,ST008,213806.25,0.29,0.94,0.95,0.93
TG00189,2026-03-30,ST009,145574.03,0.29,0.94,0.95,0.93
TG00190,2026-03-30,ST010,103046.87,0.29,0.94,0.95,0.93
TG00191,2026-03-30,ST011,137281.31,0.29,0.94,0.95,0.93
TG00192,2026-03-30,ST012,151185.37,0.29,0.94,0.95,0.93
TG00193,2026-03-30,ST013,157891.88,0.29,0.94,0.95,0.93
TG00194,2026-03-30,ST014,96393.7,0.29,0.94,0.95,0.93
TG00195,2026-03-30,ST015,161870.59,0.29,0.94,0.95,0.93
TG00196,2026-03-30,ST016,165333.85,0.29,0.94,0.95,0.93
TG00197,2026-03-30,ST017,84191.2,0.29,0.94,0.95,0.93
TG00198,2026-03-30,ST018,131216.7,0.29,0.94,0.95,0.93
TG00199,2026-03-30,ST019,195282.59,0.29,0.94,0.95,0.93
TG00200,2026-03-30,ST020,120633.8,0.29,0.94,0.95,0.93
TG00201,2026-03-30,ST021,159947.87,0.29,0.94,0.95,0.93
TG00202,2026-03-30,ST022,108376.46,0.29,0.94,0.95,0.93
TG00203,2026-03-30,ST023,165234.31,0.29,0.94,0.95,0.93
TG00204,2026-03-30,ST024,112096.1,0.29,0.94,0.95,0.93
TG00205,2026-03-30,ST025,97840.11,0.29,0.94,0.95,0.93
TG00206,2026-03-30,ST026,136374.66,0.29,0.94,0.95,0.93
TG00207,2026-03-30,ST027,153741.71,0.29,0.94,0.95,0.93
TG00208,2026-03-30,ST028,77141.8,0.29,0.94,0.95,0.93
TG00209,2026-03-30,ST029,122094.97,0.29,0.94,0.95,0.93
TG00210,2026-03-30,ST030,147439.56,0.29,0.94,0.95,0.93
TG00211,2026-03-30,ST031,131813.11,0.29,0.94,0.95,0.93
TG00212,2026-03-30,ST032,112830.01,0.29,0.94,0.95,0.93
TG00213,2026-03-30,ST033,69759.61,0.29,0.94,0.95,0.93
TG00214,2026-03-30,ST034,93496.03,0.29,0.94,0.95,0.93
TG00215,2026-03-30,ST035,123979.7,0.29,0.94,0.95,0.93
TG00216,2026-03-30,ST036,74237.98,0.29,0.94,0.95,0.93
TG00217,2026-04-06,ST001,122029.5,0.29,0.94,0.95,0.93
TG00218,2026-04-06,ST002,208576.15,0.29,0.94,0.95,0.93
TG00219,2026-04-06,ST003,144129.28,0.29,0.94,0.95,0.93
TG00220,2026-04-06,ST004,110037.29,0.29,0.94,0.95,0.93
TG00221,2026-04-06,ST005,221115.74,0.29,0.94,0.95,0.93
TG00222,2026-04-06,ST006,161313.03,0.29,0.94,0.95,0.93
TG00223,2026-04-06,ST007,166906.77,0.29,0.94,0.95,0.93
TG00224,2026-04-06,ST008,194855.95,0.29,0.94,0.95,0.93
TG00225,2026-04-06,ST009,138994.18,0.29,0.94,0.95,0.93
TG00226,2026-04-06,ST010,103958.62,0.29,0.94,0.95,0.93
TG00227,2026-04-06,ST011,133126.66,0.29,0.94,0.95,0.93
TG00228,2026-04-06,ST012,146636.94,0.29,0.94,0.95,0.93
TG00229,2026-04-06,ST013,155442.79,0.29,0.94,0.95,0.93
TG00230,2026-04-06,ST014,89990.35,0.29,0.94,0.95,0.93
TG00231,2026-04-06,ST015,156047.19,0.29,0.94,0.95,0.93
TG00232,2026-04-06,ST016,158142.42,0.29,0.94,0.95,0.93
TG00233,2026-04-06,ST017,84652.81,0.29,0.94,0.95,0.93
TG00234,2026-04-06,ST018,139014.85,0.29,0.94,0.95,0.93
TG00235,2026-04-06,ST019,196014.61,0.29,0.94,0.95,0.93
TG00236,2026-04-06,ST020,117513.91,0.29,0.94,0.95,0.93
TG00237,2026-04-06,ST021,154717.38,0.29,0.94,0.95,0.93
TG00238,2026-04-06,ST022,95316.82,0.29,0.94,0.95,0.93
TG00239,2026-04-06,ST023,154681.83,0.29,0.94,0.95,0.93
TG00240,2026-04-06,ST024,100614.78,0.29,0.94,0.95,0.93
TG00241,2026-04-06,ST025,94108.97,0.29,0.94,0.95,0.93
TG00242,2026-04-06,ST026,136865.18,0.29,0.94,0.95,0.93
TG00243,2026-04-06,ST027,131852.35,0.29,0.94,0.95,0.93
TG00244,2026-04-06,ST028,74940.84,0.29,0.94,0.95,0.93
TG00245,2026-04-06,ST029,111311.3,0.29,0.94,0.95,0.93
TG00246,2026-04-06,ST030,141746.29,0.29,0.94,0.95,0.93
TG00247,2026-04-06,ST031,132182.25,0.29,0.94,0.95,0.93
TG00248,2026-04-06,ST032,104264.4,0.29,0.94,0.95,0.93
TG00249,2026-04-06,ST033,64553.32,0.29,0.94,0.95,0.93
TG00250,2026-04-06,ST034,96826.29,0.29,0.94,0.95,0.93
TG00251,2026-04-06,ST035,109670.11,0.29,0.94,0.95,0.93
TG00252,2026-04-06,ST036,72923.35,0.29,0.94,0.95,0.93
TG00253,2026-04-13,ST001,114864.49,0.29,0.94,0.95,0.93
TG00254,2026-04-13,ST002,211458.55,0.29,0.94,0.95,0.93
TG00255,2026-04-13,ST003,153669.27,0.29,0.94,0.95,0.93
TG00256,2026-04-13,ST004,111040.47,0.29,0.94,0.95,0.93
TG00257,2026-04-13,ST005,217198.6,0.29,0.94,0.95,0.93
TG00258,2026-04-13,ST006,163784.97,0.29,0.94,0.95,0.93
TG00259,2026-04-13,ST007,170680.55,0.29,0.94,0.95,0.93
TG00260,2026-04-13,ST008,205967.98,0.29,0.94,0.95,0.93
TG00261,2026-04-13,ST009,137241.34,0.29,0.94,0.95,0.93
TG00262,2026-04-13,ST010,114643.98,0.29,0.94,0.95,0.93
TG00263,2026-04-13,ST011,143890.42,0.29,0.94,0.95,0.93
TG00264,2026-04-13,ST012,150469.61,0.29,0.94,0.95,0.93
TG00265,2026-04-13,ST013,158897.56,0.29,0.94,0.95,0.93
TG00266,2026-04-13,ST014,92440.19,0.29,0.94,0.95,0.93
TG00267,2026-04-13,ST015,156979.98,0.29,0.94,0.95,0.93
TG00268,2026-04-13,ST016,157939.47,0.29,0.94,0.95,0.93
TG00269,2026-04-13,ST017,82502.76,0.29,0.94,0.95,0.93
TG00270,2026-04-13,ST018,138386.53,0.29,0.94,0.95,0.93
TG00271,2026-04-13,ST019,186959.7,0.29,0.94,0.95,0.93
TG00272,2026-04-13,ST020,114536.39,0.29,0.94,0.95,0.93
TG00273,2026-04-13,ST021,153633.55,0.29,0.94,0.95,0.93
TG00274,2026-04-13,ST022,105639.01,0.29,0.94,0.95,0.93
TG00275,2026-04-13,ST023,159479.2,0.29,0.94,0.95,0.93
TG00276,2026-04-13,ST024,112144.52,0.29,0.94,0.95,0.93
TG00277,2026-04-13,ST025,92012.76,0.29,0.94,0.95,0.93
TG00278,2026-04-13,ST026,129694.43,0.29,0.94,0.95,0.93
TG00279,2026-04-13,ST027,143756.21,0.29,0.94,0.95,0.93
TG00280,2026-04-13,ST028,72397.35,0.29,0.94,0.95,0.93
TG00281,2026-04-13,ST029,110079.53,0.29,0.94,0.95,0.93
TG00282,2026-04-13,ST030,138715.41,0.29,0.94,0.95,0.93
TG00283,2026-04-13,ST031,127606.04,0.29,0.94,0.95,0.93
TG00284,2026-04-13,ST032,103033.93,0.29,0.94,0.95,0.93
TG00285,2026-04-13,ST033,62419.09,0.29,0.94,0.95,0.93
TG00286,2026-04-13,ST034,99075.65,0.29,0.94,0.95,0.93
TG00287,2026-04-13,ST035,115682.63,0.29,0.94,0.95,0.93
TG00288,2026-04-13,ST036,67219.78,0.29,0.94,0.95,0.93
TG00289,2026-04-20,ST001,125880.71,0.29,0.94,0.95,0.93
TG00290,2026-04-20,ST002,214537.69,0.29,0.94,0.95,0.93
TG00291,2026-04-20,ST003,148410.94,0.29,0.94,0.95,0.93
TG00292,2026-04-20,ST004,108093.62,0.29,0.94,0.95,0.93
TG00293,2026-04-20,ST005,219995.86,0.29,0.94,0.95,0.93
TG00294,2026-04-20,ST006,172849.95,0.29,0.94,0.95,0.93
TG00295,2026-04-20,ST007,168134.14,0.29,0.94,0.95,0.93
TG00296,2026-04-20,ST008,208935.11,0.29,0.94,0.95,0.93
TG00297,2026-04-20,ST009,136471.7,0.29,0.94,0.95,0.93
TG00298,2026-04-20,ST010,110975.95,0.29,0.94,0.95,0.93
TG00299,2026-04-20,ST011,135240.04,0.29,0.94,0.95,0.93
TG00300,2026-04-20,ST012,149252.73,0.29,0.94,0.95,0.93
TG00301,2026-04-20,ST013,150945.9,0.29,0.94,0.95,0.93
TG00302,2026-04-20,ST014,92779.95,0.29,0.94,0.95,0.93
TG00303,2026-04-20,ST015,162544.93,0.29,0.94,0.95,0.93
TG00304,2026-04-20,ST016,154960.54,0.29,0.94,0.95,0.93
TG00305,2026-04-20,ST017,83291.49,0.29,0.94,0.95,0.93
TG00306,2026-04-20,ST018,137918.75,0.29,0.94,0.95,0.93
TG00307,2026-04-20,ST019,184932.66,0.29,0.94,0.95,0.93
TG00308,2026-04-20,ST020,116539.87,0.29,0.94,0.95,0.93
TG00309,2026-04-20,ST021,143829.6,0.29,0.94,0.95,0.93
TG00310,2026-04-20,ST022,105889.61,0.29,0.94,0.95,0.93
TG00311,2026-04-20,ST023,154063.5,0.29,0.94,0.95,0.93
TG00312,2026-04-20,ST024,107700.23,0.29,0.94,0.95,0.93
TG00313,2026-04-20,ST025,94970.35,0.29,0.94,0.95,0.93
TG00314,2026-04-20,ST026,129592.38,0.29,0.94,0.95,0.93
TG00315,2026-04-20,ST027,137740.94,0.29,0.94,0.95,0.93
TG00316,2026-04-20,ST028,64978.07,0.29,0.94,0.95,0.93
TG00317,2026-04-20,ST029,114745.8,0.29,0.94,0.95,0.93
TG00318,2026-04-20,ST030,135209.23,0.29,0.94,0.95,0.93
TG00319,2026-04-20,ST031,125621.91,0.29,0.94,0.95,0.93
TG00320,2026-04-20,ST032,106267.25,0.29,0.94,0.95,0.93
TG00321,2026-04-20,ST033,64147.7,0.29,0.94,0.95,0.93
TG00322,2026-04-20,ST034,94432.54,0.29,0.94,0.95,0.93
TG00323,2026-04-20,ST035,115084.2,0.29,0.94,0.95,0.93
TG00324,2026-04-20,ST036,70260.18,0.29,0.94,0.95,0.93
TG00325,2026-04-27,ST001,120396.74,0.29,0.94,0.95,0.93
TG00326,2026-04-27,ST002,222838.12,0.29,0.94,0.95,0.93
TG00327,2026-04-27,ST003,159596.77,0.29,0.94,0.95,0.93
TG00328,2026-04-27,ST004,112684.5,0.29,0.94,0.95,0.93
TG00329,2026-04-27,ST005,219737.93,0.29,0.94,0.95,0.93
TG00330,2026-04-27,ST006,179439.97,0.29,0.94,0.95,0.93
TG00331,2026-04-27,ST007,169225.7,0.29,0.94,0.95,0.93
TG00332,2026-04-27,ST008,213234.81,0.29,0.94,0.95,0.93
TG00333,2026-04-27,ST009,145241.3,0.29,0.94,0.95,0.93
TG00334,2026-04-27,ST010,101413.33,0.29,0.94,0.95,0.93
TG00335,2026-04-27,ST011,137429.85,0.29,0.94,0.95,0.93
TG00336,2026-04-27,ST012,153140.54,0.29,0.94,0.95,0.93
TG00337,2026-04-27,ST013,155667.37,0.29,0.94,0.95,0.93
TG00338,2026-04-27,ST014,92185.55,0.29,0.94,0.95,0.93
TG00339,2026-04-27,ST015,158095.35,0.29,0.94,0.95,0.93
TG00340,2026-04-27,ST016,155649.51,0.29,0.94,0.95,0.93
TG00341,2026-04-27,ST017,84249.88,0.29,0.94,0.95,0.93
TG00342,2026-04-27,ST018,134516.79,0.29,0.94,0.95,0.93
TG00343,2026-04-27,ST019,184230.52,0.29,0.94,0.95,0.93
TG00344,2026-04-27,ST020,118011.93,0.29,0.94,0.95,0.93
TG00345,2026-04-27,ST021,149875.19,0.29,0.94,0.95,0.93
TG00346,2026-04-27,ST022,105370.33,0.29,0.94,0.95,0.93
TG00347,2026-04-27,ST023,156458.95,0.29,0.94,0.95,0.93
TG00348,2026-04-27,ST024,105309.4,0.29,0.94,0.95,0.93
TG00349,2026-04-27,ST025,95717.62,0.29,0.94,0.95,0.93
TG00350,2026-04-27,ST026,131074.47,0.29,0.94,0.95,0.93
TG00351,2026-04-27,ST027,137165.97,0.29,0.94,0.95,0.93
TG00352,2026-04-27,ST028,72602.92,0.29,0.94,0.95,0.93
TG00353,2026-04-27,ST029,116444.5,0.29,0.94,0.95,0.93
TG00354,2026-04-27,ST030,137609.45,0.29,0.94,0.95,0.93
TG00355,2026-04-27,ST031,130888.23,0.29,0.94,0.95,0.93
TG00356,2026-04-27,ST032,114477.65,0.29,0.94,0.95,0.93
TG00357,2026-04-27,ST033,63901.45,0.29,0.94,0.95,0.93
TG00358,2026-04-27,ST034,98687.35,0.29,0.94,0.95,0.93
TG00359,2026-04-27,ST035,115286.8,0.29,0.94,0.95,0.93
TG00360,2026-04-27,ST036,74783.14,0.29,0.94,0.95,0.93
TG00361,2026-05-04,ST001,123308.26,0.29,0.94,0.95,0.93
TG00362,2026-05-04,ST002,209029.04,0.29,0.94,0.95,0.93
TG00363,2026-05-04,ST003,152511.04,0.29,0.94,0.95,0.93
TG00364,2026-05-04,ST004,118627.46,0.29,0.94,0.95,0.93
TG00365,2026-05-04,ST005,224150.31,0.29,0.94,0.95,0.93
TG00366,2026-05-04,ST006,174253.3,0.29,0.94,0.95,0.93
TG00367,2026-05-04,ST007,170849.64,0.29,0.94,0.95,0.93
TG00368,2026-05-04,ST008,220834.44,0.29,0.94,0.95,0.93
TG00369,2026-05-04,ST009,138858.57,0.29,0.94,0.95,0.93
TG00370,2026-05-04,ST010,107264.94,0.29,0.94,0.95,0.93
TG00371,2026-05-04,ST011,136611.29,0.29,0.94,0.95,0.93
TG00372,2026-05-04,ST012,150482.1,0.29,0.94,0.95,0.93
TG00373,2026-05-04,ST013,156569.5,0.29,0.94,0.95,0.93
TG00374,2026-05-04,ST014,97808.67,0.29,0.94,0.95,0.93
